"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession","PubMed ID","First Author",Location
rs35441874-<b>T</b>,"4 x 10-7",,0.748,1.06,'-,[1.04-1.08],CLEC16A,"Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",16:11119164
rs74180212-<b>G</b>,"3 x 10-8",,0.439,1.061,'-,[1.04-1.08],IL1R1-AS1,"Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",2:102181785
rs12935657-<b>G</b>,"2 x 10-7",,0.749,1.062,'-,[1.04-1.08],CLEC16A,"Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",16:11125184
rs4574025-<b>T</b>,"4 x 10-9",,0.534,1.062,'-,[1.04-1.08],TNFRSF11A,"Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",18:62342581
rs3122929-<b>T</b>,"1 x 10-9",,0.397,1.063,'-,[1.04-1.08],STAT6,"Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",12:57115319
rs9895436-<b>A</b>,"7 x 10-10",,0.398,1.064,'-,[1.04-1.08],"ARHGAP27, AC003070.2","Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",17:45380520
rs1898671-<b>T</b>,"8 x 10-10",,0.346,1.064,'-,[1.04-1.08],TSLP,"Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",5:111072304
rs6594499-<b>C</b>,"2 x 10-10",,0.508,1.065,'-,[1.05-1.08],"WDR36, AC010468.2","Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",5:111134439
rs9372120-<b>G</b>,"3 x 10-7",,0.205,1.065,'-,[1.04-1.09],ATG5,"Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",6:106219660
rs3785356-<b>T</b>,"5 x 10-9",,0.294,1.065,'-,[1.04-1.09],IL4R,"Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",16:27337847
rs17454584-<b>G</b>,"5 x 10-8",,0.212,1.066,'-,[1.04-1.09],"IL2, ADAD1","Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",4:122432277
rs72743461-<b>A</b>,"3 x 10-9",,0.231,1.07,'-,[1.05-1.09],SMAD3,"Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",15:67149412
rs34290285-<b>G</b>,"2 x 10-8",,0.738,1.071,'-,[1.05-1.09],D2HGDH,"Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",2:241759225
rs2299012-<b>C</b>,"7 x 10-9",,0.19,1.073,'-,[1.05-1.1],"AC116366.3, RAD50","Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",5:132581248
rs3116989-<b>G</b>,"4 x 10-6",,0.867,1.073,'-,[1.04-1.1],HLA-DPA3,"Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",6:33131761
rs11071559-<b>C</b>,"3 x 10-6",,0.868,1.073,'-,[1.04-1.1],RORA,"Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",15:60777789
rs78037977-<b>A</b>,"5 x 10-6",,0.879,1.074,'-,[1.04-1.11],"SLC25A38P1, FASLG","Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",1:172746562
rs1861245-<b>C</b>,"2 x 10-11",,0.662,1.075,'-,[1.05-1.1],"IL18R1, IL1RL1","Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",2:102350446
rs10187276-<b>T</b>,"7 x 10-11",,0.25,1.078,'-,[1.06-1.1],"CCL20, AC073065.1","Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",2:227805721
rs9860547-<b>A</b>,"1 x 10-16",,0.449,1.086,'-,[1.07-1.11],LPP,"Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",3:188411191
rs16903574-<b>G</b>,"6 x 10-6",,0.07,1.087,'-,[1.05-1.12],OTULINL,"Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",5:14610200
rs11236797-<b>A</b>,"7 x 10-18",,0.445,1.09,'-,[1.07-1.11],"AP001189.2, EMSY","Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",11:76588605
rs7936312-<b>T</b>,"6 x 10-19",,0.471,1.093,'-,[1.07-1.11],"AP001189.2, EMSY","Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",11:76582682
rs1837253-<b>C</b>,"5 x 10-15",,0.736,1.095,'-,[1.07-1.12],"TSLP, AC010395.1","Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",5:111066174
rs62557312-<b>C</b>,"4 x 10-12",,0.819,1.098,'-,[1.07-1.12],AL162384.1,"Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",9:6047765
rs12365699-<b>G</b>,"4 x 10-12",,0.832,1.1,'-,[1.07-1.13],"CXCR5, AP004609.1","Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",11:118872577
rs340934-<b>T</b>,"1 x 10-14",,0.806,1.105,'-,[1.08-1.13],"GTF3AP1, AL162384.1","Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",9:6081804
rs7848215-<b>T</b>,"9 x 10-22",,0.254,1.11,'-,[1.09-1.13],"GTF3AP1, IL33","Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",9:6213468
rs992969-<b>A</b>,"1 x 10-20",,0.248,1.112,'-,[1.09-1.13],"IL33, GTF3AP1","Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",9:6209697
rs5743618-<b>C</b>,"3 x 10-21",,0.764,1.114,'-,[1.09-1.14],TLR1,"Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",4:38797027
rs12964116-<b>G</b>,"7 x 10-8",,0.036,1.174,'-,[1.12-1.23],SERPINB7,"Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",18:63775385
rs60227565-<b>G</b>,"7 x 10-27",,0.865,1.177,'-,[1.15-1.21],"IL1RL1, FAM183DP","Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",2:102275879
rs72823641-<b>T</b>,"9 x 10-30",,0.857,1.185,'-,[1.16-1.21],"IL1RL1, IL18R1","Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",2:102319699
rs55646091-<b>A</b>,"5 x 10-17",,0.045,1.205,'-,[1.16-1.25],"EMSY, AP001189.2","Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",11:76588387
rs117097909-<b>A</b>,"8 x 10-19",,0.051,1.218,'-,[1.17-1.26],GSDMB,"Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",17:39908718
rs78545931-<b>A</b>,"1 x 10-12",,0.979,1.228,'-,[1.17-1.28],"FAM183DP, IL1RL1","Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",2:102265892
rs4795399-<b>T</b>,"5 x 10-64",,0.528,1.257,'-,[1.24-1.28],GSDMB,"Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",17:39905186
rs12123821-<b>T</b>,"8 x 10-24",,0.046,1.264,'-,[1.22-1.31],"FLG-AS1, AL589986.2","Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",1:152206676
rs6866614-<b>G</b>,"4 x 10-25",,NR,1.074,'-,[1.06-1.09],"IRF1-AS1, AC116366.3",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",5:132451445
rs3749833-<b>C</b>,"3 x 10-26",,NR,1.085,'-,[1.07-1.1],"IRF1-AS1, AC116366.3",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",5:132463934
rs2299012-<b>C</b>,"7 x 10-32",,NR,1.106,'-,[1.09-1.12],"AC116366.3, RAD50",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",5:132581248
rs113010607-<b>C</b>,"3 x 10-13",,NR,1.095,'-,[1.07-1.12],SEPTIN8,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",5:132770006
rs10699671-<b>AAGG</b>,"2 x 10-16",,NR,1.059,'-,[1.05-1.07],NDFIP1,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",5:142139376
rs449454-<b>G</b>,"1 x 10-16",,NR,1.059,'-,[1.05-1.07],NDFIP1,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",5:142153497
rs114444221-<b>A</b>,"9 x 10-16",,NR,1.134,'-,[1.1-1.17],HLA-B,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",6:31335547
rs2428494-<b>A</b>,"2 x 10-60",,NR,1.118,'-,[1.1-1.13],HLA-B,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",6:31354420
rs3190923-<b>G</b>,"9 x 10-22",,NR,1.129,'-,[1.1-1.15],"AL671883.2, HLA-B",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",6:31356722
rs115664621-<b>G</b>,"8 x 10-35",,NR,1.223,'-,[1.19-1.25],"HLA-DRB5, HLA-DRB9",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",6:32490013
rs146618240-<b>A</b>,"1 x 10-22",,NR,1.072,'-,[1.06-1.09],"HLA-DRB9, HLA-DRB5",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",6:32514325
rs72508457-<b>G</b>,"5 x 10-24",,NR,1.09,'-,[1.07-1.11],HLA-DRB5,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",6:32528394
rs139088362-<b>A</b>,"4 x 10-12",,NR,1.185,'-,[1.14-1.23],"HLA-DRB1, HLA-DRB6",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",6:32571334
rs75380949-<b>T</b>,"4 x 10-33",,NR,1.208,'-,[1.18-1.24],"HLA-DRB1, HLA-DRB6",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",6:32573442
rs115468973-<b>T</b>,"3 x 10-23",,NR,1.267,'-,[1.22-1.31],"HLA-DRB1, HLA-DRB6",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",6:32576344
rs1064713-<b>A</b>,"1 x 10-25",,NR,1.205,'-,[1.17-1.24],HLA-DRB1,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",6:32578889
rs545366210-<b>C</b>,"2 x 10-29",,NR,1.316,'-,[1.27-1.36],HLA-DRB1,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",6:32586302
rs116189786-<b>A</b>,"5 x 10-33",,NR,1.26,'-,[1.22-1.3],"HLA-DQA1, HLA-DRB1",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",6:32625900
rs28383454-<b>T</b>,"2 x 10-116",,NR,1.177,'-,[1.16-1.19],HLA-DQA1,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",6:32641593
rs9273123-<b>A</b>,"4 x 10-105",,NR,1.187,'-,[1.17-1.2],HLA-DQA1,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",6:32644956
rs28798705-<b>A</b>,"6 x 10-104",,NR,1.179,'-,[1.16-1.19],"HLA-DQB1, HLA-DQA1",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",6:32650032
rs201184533-<b>C</b>,"9 x 10-17",,NR,1.263,'-,[1.21-1.32],HLA-DQB1,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",6:32665110
rs111789468-<b>T</b>,"4 x 10-6",,NR,1.082,'-,[1.05-1.12],HLA-DPA1,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",6:33066047
rs3116989-<b>G</b>,"4 x 10-14",,NR,1.078,'-,[1.06-1.1],HLA-DPA3,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",6:33131761
rs28522747-<b>A</b>,"8 x 10-9",,NR,1.062,'-,[1.04-1.08],"SCUBE3, TCP11",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",6:35166952
rs62408233-<b>G</b>,"1 x 10-28",,NR,1.082,'-,[1.07-1.1],BACH2,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",6:90266890
rs58521088-<b>A</b>,"7 x 10-29",,NR,1.082,'-,[1.07-1.1],BACH2,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",6:90275479
rs9372120-<b>G</b>,"1 x 10-6",,NR,1.042,'-,[1.03-1.06],ATG5,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",6:106219660
rs55743914-<b>T</b>,"7 x 10-15",,NR,1.064,'-,[1.05-1.08],PTPRK,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",6:127972417
rs6927172-<b>C</b>,"2 x 10-10",,NR,1.053,'-,[1.04-1.07],AL356234.2,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",6:137681038
rs149317277-<b>G</b>,"1 x 10-12",,NR,1.051,'-,[1.04-1.06],ITGB8,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",7:20384301
rs12531500-<b>A</b>,"2 x 10-15",,NR,1.056,'-,[1.04-1.07],"EEF1A1P27, ITGB8",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",7:20504586
rs6954667-<b>A</b>,"3 x 10-6",,NR,1.035,'-,[1.02-1.05],"MTCYBP42, IL6",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",7:22740703
rs57585717-<b>A</b>,"2 x 10-13",,NR,1.08,'-,[1.06-1.1],JAZF1,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",7:28109636
rs4722758-<b>G</b>,"6 x 10-18",,NR,1.076,'-,[1.06-1.09],JAZF1,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",7:28116987
rs2221641-<b>C</b>,"3 x 10-24",,NR,1.073,'-,[1.06-1.09],AC034114.2,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",8:80382467
rs35204956-<b>T</b>,"6 x 10-24",,NR,1.073,'-,[1.06-1.09],AC034114.2,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",8:80389778
rs13277355-<b>A</b>,"2 x 10-11",,NR,1.052,'-,[1.04-1.07],"PVT1, MYC",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",8:127765473
rs62557312-<b>C</b>,"3 x 10-43",,NR,1.13,'-,[1.11-1.15],AL162384.1,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",9:6047765
rs340934-<b>T</b>,"5 x 10-41",,NR,1.122,'-,[1.1-1.14],"GTF3AP1, AL162384.1",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",9:6081804
rs992969-<b>A</b>,"3 x 10-72",,NR,1.151,'-,[1.14-1.17],"IL33, GTF3AP1",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",9:6209697
rs7848215-<b>T</b>,"9 x 10-71",,NR,1.148,'-,[1.13-1.16],"GTF3AP1, IL33",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",9:6213468
rs274943-<b>T</b>,"8 x 10-8",,NR,1.037,'-,[1.02-1.05],AL445623.2,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",9:23585841
rs12722502-<b>C</b>,"2 x 10-18",,NR,1.253,'-,[1.2-1.3],IL2RA,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",10:6051176
rs943451-<b>T</b>,"5 x 10-10",,NR,1.047,'-,[1.03-1.06],PRKCQ,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",10:6579811
rs11255504-<b>T</b>,"1 x 10-8",,NR,1.053,'-,[1.04-1.07],GATA3,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",10:8062378
rs7099257-<b>T</b>,"7 x 10-12",,NR,1.049,'-,[1.04-1.06],"AC025946.1, AC025946.2",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",10:8468994
rs17144046-<b>G</b>,"4 x 10-12",,NR,1.055,'-,[1.04-1.07],"CHCHD3P1, KRT8P37",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",10:8564051
rs10795672-<b>A</b>,"2 x 10-15",,NR,1.056,'-,[1.04-1.07],"LINC02676, AL355333.1",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",10:8735677
rs12413578-<b>C</b>,"8 x 10-41",,NR,1.158,'-,[1.14-1.18],"AC044784.1, LINC00709",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",10:9007290
rs2786098-<b>?</b>,"2 x 10-13",,NR,'-,'-,[NR],CRB1,Asthma,asthma,GCST000548,20032318,"Sleiman PM",1:197356778
rs2786098-<b>?</b>,"9 x 10-11",(EA),0.848,1.43,'-,'-,CRB1,Asthma,asthma,GCST000548,20032318,"Sleiman PM",1:197356778
chr2:211694960-<b>?</b>,"7 x 10-6",,NR,1.59,'-,[1.30-1.94],'-,Asthma,asthma,GCST001508,22561531,"Wan YI","Mapping not available"
rs6867913-<b>?</b>,"4 x 10-6",,NR,1.33,'-,[1.18-1.49],"NDFIP1, AC005740.2",Asthma,asthma,GCST001508,22561531,"Wan YI",5:142066415
rs10970976-<b>?</b>,"4 x 10-6",,NR,1.28,'-,[1.16-1.43],ACO1,Asthma,asthma,GCST001508,22561531,"Wan YI",9:32433528
rs4794820-<b>?</b>,"1 x 10-8",,NR,1.33,'-,[1.20-1.45],AC090844.2,Asthma,asthma,GCST001508,22561531,"Wan YI",17:39933091
rs16984547-<b>?</b>,"4 x 10-6",,NR,1.43,'-,[1.23-1.66],ZNF665,Asthma,asthma,GCST001508,22561531,"Wan YI",19:53178789
rs9807989-<b>?</b>,"6 x 10-8",,NR,1.33,'-,[1.20-1.47],IL18R1,Asthma,asthma,GCST001508,22561531,"Wan YI",2:102354740
rs11745587-<b>?</b>,"2 x 10-6",,NR,1.26,'-,[1.15-1.39],"IRF1-AS1, AC116366.3",Asthma,asthma,GCST001508,22561531,"Wan YI",5:132461230
rs13408661-<b>G</b>,"1 x 10-9",,0.84,1.23,'-,[1.15-1.31],"IL18R1, IL1RL1",Asthma,asthma,GCST001701,23028483,"Ramasamy A",2:102338622
rs9268516-<b>T</b>,"1 x 10-8",,0.24,1.15,'-,[1.10-1.21],"HLA-DRA, TSBP1-AS1",Asthma,asthma,GCST001701,23028483,"Ramasamy A",6:32411712
rs295137-<b>T</b>,"1 x 10-6",,0.41,'-,'-,'-,"AC004464.1, SPATS2L","Asthma (bronchodilator response)","response to bronchodilator, asthma",GCST001597,22792082,"Himes BE",2:200285317
rs3119939-<b>?</b>,"8 x 10-6",,0.51,1.08,'-,[1.04-1.10],AL354810.1,Asthma,asthma,GCST001226,21907864,"Ferreira MA",13:63064196
rs7922491-<b>A</b>,"5 x 10-7",,0.11,1.13,'-,[1.08-1.19],PRKG1,Asthma,asthma,GCST001226,21907864,"Ferreira MA",10:51733713
rs4129267-<b>T</b>,"2 x 10-8",,0.37,1.09,'-,[1.06-1.12],IL6R,Asthma,asthma,GCST001226,21907864,"Ferreira MA",1:154453788
rs7130588-<b>G</b>,"2 x 10-8",,0.34,1.09,'-,[1.06-1.13],"EMSY, AP001189.2",Asthma,asthma,GCST001226,21907864,"Ferreira MA",11:76559639
rs987870-<b>C</b>,"2 x 10-10",,0.14,1.4,'-,[1.26-1.55],HLA-DPA1,Asthma,asthma,GCST001172,21814517,"Noguchi E",6:33075103
rs1523643-<b>?</b>,"3 x 10-7",(AA),NR,'-,'-,'-,"FGF20, AC011586.2","Allergic rhinitis in asthma","allergic rhinitis, asthma",GCST002552,25085501,"Bunyavanich S",8:16931726
"rs17445240-<b>G</b>, rs10173297-<b>A</b>, rs13384889-<b>C</b>, rs13031619-<b>G</b>, rs4849975-<b>G</b>, rs1965732-<b>G</b>, rs13418767-<b>T</b>, rs6754459-<b>T</b>, rs11902059-<b>A</b>, rs13395090-<b>T</b>, rs17017879-<b>C</b>, rs7558370-<b>C</b>","4 x 10-6",,0.093,'-,"0.329 unit increase",[NR],"COLEC11 - ALLC; ALLC; ALLC; COLEC11 - ALLC; COLEC11 - ALLC; ALLC; COLEC11 - ALLC; ALLC; COLEC11 - ALLC; ALLC; ALLC; ALLC","Response to inhaled corticosteroid treatment in asthma (change in FEV1)","FEV change measurement, response to corticosteroid, asthma",GCST002432,24792382,"Park TJ",2:3655451|2:3666539|2:3659032|2:3650781|2:3653746|2:3661518|2:3657240|2:3659833|2:3655143|2:3667425|2:3666068|2:3666671
rs2549003-<b>G</b>,"9 x 10-7","(European, male)",0.39,1.33,'-,[1.18-1.49],AC116366.3,"Asthma (sex interaction)","sex interaction measurement, asthma",GCST002445,24824216,"Myers RA",5:132493605
rs17642749-<b>G</b>,"4 x 10-7","(African American/African Caribbean, male)",0.086,2.97,'-,[1.90-4.63],"RAB11FIP2, AL513324.1","Asthma (sex interaction)","sex interaction measurement, asthma",GCST002445,24824216,"Myers RA",10:117887745
rs1012307-<b>C</b>,"8 x 10-7","(African American/African Caribbean, female)",0.20,1.44,'-,[1.25-1.67],"LINC01931, MMADHC-DT","Asthma (sex interaction)","sex interaction measurement, asthma",GCST002445,24824216,"Myers RA",2:149798707
rs4673659-<b>C</b>,"9 x 10-7","(Latino, female)",0.72,1.42,'-,[1.23-1.64],ERBB4,"Asthma (sex interaction)","sex interaction measurement, asthma",GCST002445,24824216,"Myers RA",2:212325005
rs2675724-<b>A</b>,"2 x 10-7","(Latino, female)",0.62,1.44,'-,[1.26-1.66],"C6orf118, AL136100.1","Asthma (sex interaction)","sex interaction measurement, asthma",GCST002445,24824216,"Myers RA",6:165152406
rs9895098-<b>C</b>,"3 x 10-7","(Latino, female)",0.10,2.31,'-,[1.90-2.80],RAP1GAP2,"Asthma (sex interaction)","sex interaction measurement, asthma",GCST002445,24824216,"Myers RA",17:3035239
rs9273373-<b>G</b>,"4 x 10-14",,0.54,1.24,'-,[1.17-1.30],"HLA-DQB1, HLA-DQA1","Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,24388013,"Ferreira MA",6:32658824
rs4833095-<b>T</b>,"5 x 10-12",,0.74,1.2,'-,[1.14-1.26],TLR1,"Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,24388013,"Ferreira MA",4:38798089
rs1438673-<b>C</b>,"3 x 10-11",,0.49,1.16,'-,[1.11-1.21],"AC010468.2, WDR36","Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,24388013,"Ferreira MA",5:111131801
rs10197862-<b>A</b>,"4 x 10-11",,0.85,1.24,'-,[1.16-1.32],"IL18R1, IL1RL1","Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,24388013,"Ferreira MA",2:102350089
rs7212938-<b>G</b>,"4 x 10-10",,0.46,1.16,'-,[1.11-1.20],GSDMA,"Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,24388013,"Ferreira MA",17:39966427
rs1837253-<b>C</b>,"1 x 10-9",,0.71,1.17,'-,[1.12-1.24],"TSLP, AC010395.1","Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,24388013,"Ferreira MA",5:111066174
rs72699186-<b>T</b>,"2 x 10-9",,0.15,1.26,'-,[1.16-1.35],"AL162384.1, GTF3AP1","Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,24388013,"Ferreira MA",9:6175855
rs17294280-<b>G</b>,"4 x 10-9",,0.23,1.18,'-,[1.11-1.25],SMAD3,"Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,24388013,"Ferreira MA",15:67175947
rs7009110-<b>T</b>,"4 x 10-9",,0.36,1.14,'-,[1.09-1.19],AC034114.2,"Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,24388013,"Ferreira MA",8:80379644
rs62026376-<b>C</b>,"1 x 10-8",,0.72,1.17,'-,[1.11-1.24],CLEC16A,"Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,24388013,"Ferreira MA",16:11134855
rs3853750-<b>C</b>,"2 x 10-7",,'-,1.1533,'-,[1.1-1.21],"SLC25A46, AC008782.1","Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,24388013,"Ferreira MA",5:110818610
rs11049300-<b>G</b>,"3 x 10-7",,'-,1.4144,'-,[1.28-1.55],"CCDC91, PTHLH","Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,24388013,"Ferreira MA",12:28042192
rs12450323-<b>T</b>,"4 x 10-7",,'-,1.16,'-,[1.1-1.22],IKZF3,"Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,24388013,"Ferreira MA",17:39816455
rs6982751-<b>G</b>,"4 x 10-7",,'-,1.1878,'-,[1.12-1.25],XKR6,"Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,24388013,"Ferreira MA",8:10955964
rs41295115-<b>C</b>,"5 x 10-7",,'-,1.2769,'-,[1.18-1.37],"RBM17, RPL32P23","Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,24388013,"Ferreira MA",10:6082658
rs72766477-<b>A</b>,"5 x 10-7",,'-,1.3402,'-,[1.23-1.45],"PPIAP79, EDIL3-DT","Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,24388013,"Ferreira MA",5:84611411
rs76043829-<b>A</b>,"6 x 10-7",,'-,1.2133,'-,[1.14-1.29],TNS1,"Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,24388013,"Ferreira MA",2:217812863
rs7521681-<b>A</b>,"7 x 10-7",,'-,1.1491,'-,[1.09-1.2],VAV3,"Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,24388013,"Ferreira MA",1:107779913
rs6517368-<b>C</b>,"2 x 10-6",,'-,1.1201,'-,[1.07-1.17],AP000696.1,"Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,24388013,"Ferreira MA",21:36635645
rs17605016-<b>G</b>,"2 x 10-6",,'-,1.1878,'-,[1.12-1.26],TAFA2,"Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,24388013,"Ferreira MA",12:61856639
rs343496-<b>T</b>,"2 x 10-6",,'-,1.1351,'-,[1.08-1.19],"AL162384.1, GTF3AP1","Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,24388013,"Ferreira MA",9:6068077
rs367983479-<b>CA</b>,"6 x 10-11",,0.615,1.1111112,'-,[1.08-1.15],BACH2,"Asthma (moderate or severe)",asthma,GCST006911,30552067,"Shrine N",6:90291614
rs7936312-<b>T</b>,"6 x 10-24",,0.4742,1.17,'-,[1.13-1.20],"AP001189.2, EMSY","Asthma (moderate or severe)",asthma,GCST006911,30552067,"Shrine N",11:76582682
rs3749833-<b>C</b>,"6 x 10-14",,0.2608,1.14,'-,[1.10-1.18],"IRF1-AS1, AC116366.3","Asthma (moderate or severe)",asthma,GCST006911,30552067,"Shrine N",5:132463934
rs7523907-<b>T</b>,"5 x 10-9",,0.5408,1.1,'-,[1.06-1.13],"CD247, AL359962.2, AL359962.1, AL359962.3","Asthma (moderate or severe)",asthma,GCST006911,30552067,"Shrine N",1:167458010
rs7203459-<b>T</b>,"4 x 10-18",,0.7544,1.1627907,'-,[1.12-1.2],CLEC16A,"Asthma (moderate or severe)",asthma,GCST006911,30552067,"Shrine N",16:11136846
